cell,carrier_key,carrier_name,ac_type,seats_band,range_band,n_flights,n_tails,n_active_days,n_flights_with_number,first_date,last_date,s1,s1_den_flights,n_keys,s2,s2_n_days,avg_departures,s2_note,s3,s4,s4_entropy_norm,n_pairs,n_singletons,s1_imputed,label,low_confidence,pc1,pc2
STAR AIRLINE::CRJ1|20-99|short,STAR AIRLINE,Star Airline,CRJ1,20-99,short,6,1,2,6,2025-12-20,2025-12-21,0.0,5,5.0,,2,3.0,short_series,1.0,0.25,0.9609640474436812,4.0,3.0,True,,True,,
STW::A21N|ge240|short,STW,Southwind Airlines,A21N,ge240,short,1,1,1,1,2023-04-05,2023-04-05,0.0,1,1.0,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,,True,,
STW::A321|180-239|short,STW,Southwind Airlines,A321,180-239,short,11,1,8,11,2022-08-23,2023-04-19,0.0,11,7.0,0.007549828194028274,240,0.04583333333333333,ok,0.03333333333333333,1.0,0.9292776059351572,4.0,0.0,True,,True,-1.190787644880423,-0.5609111923532184
STW::B38M|180-239|short,STW,Southwind Airlines,B38M,180-239,short,19,1,7,19,2023-08-22,2023-09-11,0.0,19,19.0,,21,0.9047619047619048,short_series,0.3333333333333333,0.8888888888888888,0.9747968091344491,9.0,1.0,True,,True,,
SUS::J328|20-99|regional,SUS,Sun-Air,J328,20-99,regional,40,1,10,40,2022-06-01,2022-06-27,0.975,40,5.0,,27,1.4814814814814814,short_series,0.37037037037037035,0.6666666666666667,0.7212779343598501,3.0,1.0,False,,True,,
SVA::A320|100-179|regional,SVA,Saudia,A320,100-179,regional,17303,15,239,17303,2022-05-31,2023-01-24,0.9883223494045554,17298,532.0,0.03504549524885181,239,72.39748953974896,ok,0.9037656903765691,0.9777777777777777,0.8476260459679698,90.0,2.0,False,fsc,False,1.5100416155567897,-0.854488985162637
SVA::A320|100-179|short,SVA,Saudia,A320,100-179,short,22305,22,239,22305,2022-05-31,2023-01-24,0.99089563618424,22297,578.0,0.09686908904347336,239,93.32635983263599,ok,0.899581589958159,0.9615384615384616,0.8567220222574711,104.0,4.0,False,fsc,False,1.6188706041967287,-0.42442069075535366
SVA::A321|100-179|regional,SVA,Saudia,A321,100-179,regional,17001,15,239,17001,2022-05-31,2023-01-24,0.9869342593137543,16991,414.0,0.11732653749664002,239,71.13389121338912,ok,0.8493723849372385,0.9605263157894737,0.7240210776768582,76.0,3.0,False,fsc,False,1.5824723685807982,-0.2665249762402195
SVA::A333|ge240|medium,SVA,Saudia,A333,ge240,medium,574,1,208,574,2022-05-31,2023-01-24,0.6777003484320557,574,154.0,0.017775760060658063,239,2.401673640167364,ok,0.8702928870292888,0.9761904761904762,0.8214123907541374,42.0,1.0,False,fsc,False,0.987598193860155,-0.9083696821714947
SVA::A333|ge240|short,SVA,Saudia,A333,ge240,short,19645,29,239,19644,2022-05-31,2023-01-24,0.9597677734772866,19636,742.0,0.14003008510138226,239,82.19665271966527,ok,0.7866108786610879,0.8974358974358975,0.7379196379716624,78.0,8.0,False,fsc,False,1.3908947750806662,-0.008822352308509175
