cell,carrier_key,carrier_name,ac_type,seats_band,range_band,n_flights,n_tails,n_active_days,n_flights_with_number,first_date,last_date,s1,s1_den_flights,n_keys,s2,s2_n_days,avg_departures,s2_note,s3,s4,s4_entropy_norm,n_pairs,n_singletons,s1_imputed,label,low_confidence,pc1,pc2
VSV::B38M,VSV,SCAT Airlines,B38M,180-239,short,14151,7,1342,14121,2022-05-31,2026-01-31,0.9735905466970387,14048,480.0,0.015582070741966492,1342,10.544709388971684,ok,0.8787878787878788,0.8372093023255813,0.6779512182114976,129.0,21.0,False,,False,1.2381414253291776,-0.8845610267112971
VSV::B39M,VSV,SCAT Airlines,B39M,180-239,medium,15253,5,1323,15091,2022-05-31,2026-01-31,0.9663906820095425,14252,692.0,0.04380975524333852,1342,11.365871833084947,ok,0.9485842026825634,0.7810650887573964,0.7007827551919295,169.0,37.0,False,,False,1.298010837503037,-0.670678491149247
VSV::B733,VSV,SCAT Airlines,B733,100-179,regional,133,1,108,132,2023-07-16,2026-01-28,0.7480916030534351,131,26.0,0.01866301982909402,928,0.14331896551724138,ok,0.11637931034482758,0.6428571428571428,0.7623479613295386,14.0,5.0,False,,True,-0.5146604063346728,-0.225784328002374
VSV::B735,VSV,SCAT Airlines,B735,100-179,short,4027,2,859,3993,2022-05-31,2026-01-31,0.9276315789473685,3952,281.0,0.0008657673000861399,1342,3.0007451564828616,ok,0.3740685543964232,0.875,0.7622418251457359,56.0,7.0,False,,False,0.46995734842527054,-0.769485879450251
VSV::B737,VSV,SCAT Airlines,B737,100-179,short,4991,1,1086,4985,2022-09-14,2026-01-31,0.9704641350210971,4977,224.0,0.0005162320762301942,1236,4.038025889967638,ok,0.8786407766990292,0.8571428571428572,0.7741746691640872,56.0,8.0,False,,False,1.233423322216463,-1.0036870270354088
VSV::B738,VSV,SCAT Airlines,B738,180-239,short,44036,8,1342,43969,2022-05-31,2026-01-31,0.9847446789074632,43788,719.0,0.03578662555557699,1342,32.81371087928465,ok,0.9436714534013022,0.7925925925925926,0.6372957661615885,135.0,28.0,False,,False,1.3171516307025155,-0.7366457722434668
VSV::B752,VSV,SCAT Airlines,B752,180-239,medium,2068,2,779,2053,2022-06-04,2026-01-31,0.8784473953013279,1958,219.0,0.010240630621794922,1338,1.54559043348281,ok,0.34417040358744394,0.803030303030303,0.7606216125741506,66.0,13.0,False,,False,0.2555474882889852,-0.6016720535696387
VSV::CRJ2,VSV,SCAT Airlines,CRJ2,20-99,regional,200,2,147,184,2022-06-06,2026-01-31,0.9550561797752809,178,8.0,0.0019004609778784376,1336,0.1497005988023952,ok,0.07035928143712575,0.625,0.7373469398463831,8.0,3.0,False,,False,-0.3718696028616359,-0.32947692639788667
WAA::E145,WAA,FlyNamibia,E145,20-99,short,20,3,19,20,2023-08-28,2025-09-30,0.75,20,5.0,0.010795153588059825,765,0.026143790849673203,ok,0.00392156862745098,0.5,0.5770078865363999,4.0,2.0,False,,True,-0.9447956875562858,-0.055566290247775776
WESTERN AIRCRAFT::PC12,WESTERN AIRCRAFT,Western Aircraft,PC12,NA,regional,3118,9,239,3109,2022-05-31,2023-01-24,0.8118747983220393,3099,543.0,0.022491985615666343,239,13.04602510460251,ok,0.702928870292887,0.4836601307189542,0.24889291244699954,153.0,79.0,False,,False,0.15942266486317044,-0.3122144427463038
WESTERN AIRCRAFT::PC24,WESTERN AIRCRAFT,Western Aircraft,PC24,NA,short,158,1,70,158,2022-06-14,2023-01-24,0.0,157,138.0,0.002110506587161831,225,0.7022222222222222,ok,0.3111111111111111,0.33333333333333337,0.9585280596816561,99.0,66.0,True,,True,-1.8238807927299425,0.07677835226301802
WEW::AT43,WEW,Rise Air,AT43,20-99,regional,25,1,9,25,2023-04-17,2023-04-27,0.0,17,5.0,,11,2.272727272727273,short_series,0.8181818181818182,0.6666666666666667,0.7076765296822559,3.0,1.0,True,,True,,
WMT::A21N,WMT,Wizz Air Malta,A21N,180-239,short,2,1,1,2,2026-01-12,2026-01-12,0.0,2,2.0,,1,2.0,short_series,1.0,0.0,1.0,2.0,2.0,True,,True,,
WMT::A320,WMT,Wizz Air Malta,A320,180-239,short,1,1,1,1,2026-01-13,2026-01-13,0.0,1,1.0,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,,True,,
WZZ::A21N,WZZ,Wizz Air,A21N,180-239,short,4,1,2,4,2026-01-12,2026-01-13,0.0,4,3.0,,2,2.0,short_series,1.0,0.33333333333333337,0.946394630357186,3.0,2.0,True,lcc,True,,
XRC::B738,XRC,Express Air Cargo,B738,NA,short,24,1,11,24,2024-12-19,2024-12-29,0.0,21,21.0,,11,2.1818181818181817,short_series,1.0,0.050000000000000044,0.9942505366120983,20.0,19.0,True,,True,,
ZEAL AVIATION LLC::GA6C,ZEAL AVIATION LLC,Zeal Aviation LLC,GA6C,NA,short,1,1,1,1,2024-03-15,2024-03-15,0.0,1,1.0,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,,True,,
ZEN AIR GMBH::C25A,ZEN AIR GMBH,Zen Air GmbH,C25A,NA,regional,9,1,6,0,2023-11-09,2025-09-09,0.0,,,0.0,671,0.013412816691505217,ok,0.00894187779433681,0.1428571428571429,0.979569764547061,7.0,6.0,True,,True,-2.6037881663919267,0.4317302552564637
ZEN AIR GMBH::DA62,ZEN AIR GMBH,Zen Air GmbH,DA62,NA,regional,149,1,91,0,2025-03-12,2026-04-26,0.0,,,0.0,411,0.36253041362530414,ok,0.22141119221411193,0.5263157894736843,0.912893703706082,57.0,27.0,True,,True,-1.6222029836599283,-0.11816555364543156
